,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
0,462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4
1,462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4
2,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6
3,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6
4,462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6
5,461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6
6,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6
7,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6
8,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7
9,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6
10,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6
11,464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4
12,461230,Female,No,19,No,Executive,0.0,Low,,Cat_3
13,459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6
14,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1
16,466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3
17,461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6
18,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6
19,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
20,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
21,459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6
22,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3
23,459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6
24,461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3
25,465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6
26,467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4
27,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
28,465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6
29,461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6
30,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
31,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2
33,467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6
34,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1
36,465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3
38,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6
39,467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6
40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6
41,465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6
45,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6
57,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6
67,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6
71,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6
73,460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6
76,463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6
77,463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4
78,461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6
79,466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6
80,465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6
81,463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5
82,466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3
84,462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4
85,461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6
86,459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6
88,464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4
89,464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6
93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6
95,463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6
96,459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6
97,461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6
99,462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4
100,464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6
102,462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4
103,463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6
105,462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1
107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6
108,466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3
109,460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6
110,459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4
111,464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6
113,462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6
114,467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1
116,460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2
118,465827,Male,No,27,No,,2.0,Low,7.0,Cat_4
119,462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7
120,464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4
123,461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3
124,462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3
125,464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6
126,466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6
128,467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6
129,460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6
130,465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2
131,466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4
133,459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4
135,459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6
136,459390,Female,No,41,No,Artist,,Low,2.0,Cat_6
